Expression,(a&&b||c)

sn,sequence,algorithm,pairs,testcase,time
0,1, SA,4, TFF;  TFT;  TTF;  FTF,2.72
0,2, GD,5, FFF;  FFT;  TTF;  FTF;  TFF,0.77
0,3, HC,5, FFT;  FFF;  FTF;  TTF;  TFF,0.89
0,4, LAHC,5, FFT;  FFF;  FTF;  TTF;  TFF,2.68
0,5, PS,4, TTF;  FFF;  FTT;  TFT,0.18

property, sa, gd, hc, lahc, ps
Max Time,2.72,0.77,0.89,2.68,2.72
Min Time,2.72,0.77,0.89,2.68,2.72
Avg Time,2.72,0.77,0.89,2.68,2.72
Highest Paris, 4, 5, 5, 5, 4
Lowest Paris, 4, 5, 5, 5, 4


Generated by,MCDC Pro
Date,Jan 11 2015 - 01.10
